#层数	难度	战力	物攻倍率	物防倍率	法攻倍率	法防倍率	生命倍率	怪物组(mapid)完全随机(; 分割)	宝箱概率	宝箱组(; 分割)	攻击属性概率	增加的攻击	防御属性概率	增加的防御	生命属性概率	增加的生命	战功比重(概率_战功数;)
Layer	Difficulty	ZL	PhyAtkParam	PhyDefParam	MgcAtkParam	MgcDefParam	HPParam	MapIDGroup	R_BoxProb	R_BoxGroup	R_AtkProb	R_AtkParam	R_DefProb	R_DefParam	R_HpProb	R_HPParam	R_Exploits
33	2	1	24.4	24.4	24.4	24.4	24.4	18061017;18062036;18062048;18063103;18063108;18064125;18064163;18064158;18065179;18065174;18065184;18066218;18066252;18066259;18066249;18067266;18067299;18067308	1500	22069001	1600	0.06	1600	0.06	1600	0.06	0_1;10000_2;0_3
33	3	1	27.33	27.33	27.33	27.33	27.33	18061017;18062036;18062048;18063103;18063108;18064125;18064163;18064158;18065179;18065174;18065184;18066218;18066252;18066259;18066249;18067266;18067299;18067308	2000	22069001	1600	0.07	1600	0.07	1600	0.07	0_1;0_2;10000_3
34	1	1	22.62	22.62	22.62	22.62	22.62	18061019;18062037;18063109;18063081;18064136;18064126;18065195;18065185;18066219;18066245;18066260;18067268;18067279;18067294;18067278;18068315;18068348;18068334	1000	22069001	1600	0.05	1600	0.05	1600	0.05	10000_1;0_2;0_3
34	2	1	25.7	25.7	25.7	25.7	25.7	18061019;18062037;18063109;18063081;18064136;18064126;18065195;18065185;18066219;18066245;18066260;18067268;18067279;18067294;18067278;18068315;18068348;18068334	1500	22069001	1600	0.06	1600	0.06	1600	0.06	0_1;10000_2;0_3
34	3	1	28.78	28.78	28.78	28.78	28.78	18061019;18062037;18063109;18063081;18064136;18064126;18065195;18065185;18066219;18066245;18066260;18067268;18067279;18067294;18067278;18068315;18068348;18068334	2000	22069001	1600	0.07	1600	0.07	1600	0.07	0_1;0_2;10000_3
35	1	1	23.76	23.76	23.76	23.76	23.76	18061007;18062038;18063110;18063082;18064137;18064127;18065196;18065186;18066220;18066246;18066261;18067269;18067280;18067296;18067295;18068314;18068347;18068335	1000	22069001	1600	0.05	1600	0.05	1600	0.05	10000_1;0_2;0_3
35	2	1	27	27	27	27	27	18061007;18062038;18063110;18063082;18064137;18064127;18065196;18065186;18066220;18066246;18066261;18067269;18067280;18067296;18067295;18068314;18068347;18068335	1500	22069001	1600	0.06	1600	0.06	1600	0.06	0_1;10000_2;0_3
35	3	1	30.24	30.24	30.24	30.24	30.24	18061007;18062038;18063110;18063082;18064137;18064127;18065196;18065186;18066220;18066246;18066261;18067269;18067280;18067296;18067295;18068314;18068347;18068335	2000	22069001	1600	0.07	1600	0.07	1600	0.07	0_1;0_2;10000_3
36	1	1	24.9	24.9	24.9	24.9	24.9	18061008;18062039;18063111;18063083;18064138;18064128;18065197;18065187;18066221;18066235;18066237;18067270;18067281;18067297;18067304;18068313;18068346;18068336	1000	22069001	1600	0.05	1600	0.05	1600	0.05	10000_1;0_2;0_3
36	2	1	28.3	28.3	28.3	28.3	28.3	18061008;18062039;18063111;18063083;18064138;18064128;18065197;18065187;18066221;18066235;18066237;18067270;18067281;18067297;18067304;18068313;18068346;18068336	1500	22069001	1600	0.06	1600	0.06	1600	0.06	0_1;10000_2;0_3
36	3	1	31.7	31.7	31.7	31.7	31.7	18061008;18062039;18063111;18063083;18064138;18064128;18065197;18065187;18066221;18066235;18066237;18067270;18067281;18067297;18067304;18068313;18068346;18068336	2000	22069001	1600	0.07	1600	0.07	1600	0.07	0_1;0_2;10000_3
37	1	1	26.05	26.05	26.05	26.05	26.05	18061009;18062040;18063112;18063084;18064139;18064129;18065198;18065188;18066223;18066248;18066238;18067271;18067284;18067298;18067282;18068312;18068345;18068337	1000	22069001	1600	0.05	1600	0.05	1600	0.05	10000_1;0_2;0_3
37	2	1	29.6	29.6	29.6	29.6	29.6	18061009;18062040;18063112;18063084;18064139;18064129;18065198;18065188;18066223;18066248;18066238;18067271;18067284;18067298;18067282;18068312;18068345;18068337	1500	22069001	1600	0.06	1600	0.06	1600	0.06	0_1;10000_2;0_3
37	3	1	33.15	33.15	33.15	33.15	33.15	18061009;18062040;18063112;18063084;18064139;18064129;18065198;18065188;18066223;18066248;18066238;18067271;18067284;18067298;18067282;18068312;18068345;18068337	2000	22069001	1600	0.07	1600	0.07	1600	0.07	0_1;0_2;10000_3
38	1	1	27.19	27.19	27.19	27.19	27.19	18061010;18062041;18063075;18063085;18064140;18064130;18065199;18065189;18066224;18066250;18066239;18067272;18067285;18067300;18067299;18068311;18068344;18068338	1000	22069001	1600	0.05	1600	0.05	1600	0.05	10000_1;0_2;0_3
38	2	1	30.9	30.9	30.9	30.9	30.9	18061010;18062041;18063075;18063085;18064140;18064130;18065199;18065189;18066224;18066250;18066239;18067272;18067285;18067300;18067299;18068311;18068344;18068338	1500	22069001	1600	0.06	1600	0.06	1600	0.06	0_1;10000_2;0_3
38	3	1	34.61	34.61	34.61	34.61	34.61	18061010;18062041;18063075;18063085;18064140;18064130;18065199;18065189;18066224;18066250;18066239;18067272;18067285;18067300;18067299;18068311;18068344;18068338	2000	22069001	1600	0.07	1600	0.07	1600	0.07	0_1;0_2;10000_3
39	1	1	28.34	28.34	28.34	28.34	28.34	18061001;18062042;18063076;18063086;18064141;18064131;18065200;18065190;18066225;18066251;18066240;18067273;18067287;18067302;18067286;18068310;18068343;18068339	1000	22069001	1600	0.05	1600	0.05	1600	0.05	10000_1;0_2;0_3
39	2	1	32.2	32.2	32.2	32.2	32.2	18061001;18062042;18063076;18063086;18064141;18064131;18065200;18065190;18066225;18066251;18066240;18067273;18067287;18067302;18067286;18068310;18068343;18068339	1500	22069001	1600	0.06	1600	0.06	1600	0.06	0_1;10000_2;0_3
39	3	1	36.06	36.06	36.06	36.06	36.06	18061001;18062042;18063076;18063086;18064141;18064131;18065200;18065190;18066225;18066251;18066240;18067273;18067287;18067302;18067286;18068310;18068343;18068339	2000	22069001	1600	0.07	1600	0.07	1600	0.07	0_1;0_2;10000_3
40	1	1	30.1	30.1	30.1	30.1	30.1	18061012;18062043;18063077;18063087;18064142;18064132;18065201;18065191;18066228;18066257;18066242;18067274;18067288;18067303;18067283;18068316;18068342;18068340	1000	22069001	1600	0.05	1600	0.05	1600	0.05	10000_1;0_2;0_3
40	2	1	34.2	34.2	34.2	34.2	34.2	18061012;18062043;18063077;18063087;18064142;18064132;18065201;18065191;18066228;18066257;18066242;18067274;18067288;18067303;18067283;18068316;18068342;18068340	1500	22069001	1600	0.06	1600	0.06	1600	0.06	0_1;10000_2;0_3
40	3	1	38.3	38.3	38.3	38.3	38.3	18061012;18062043;18063077;18063087;18064142;18064132;18065201;18065191;18066228;18066257;18066242;18067274;18067288;18067303;18067283;18068316;18068342;18068340	2000	22069001	1600	0.07	1600	0.07	1600	0.07	0_1;0_2;10000_3
41	1	1	31.86	31.86	31.86	31.86	31.86	18061013;18062044;18063078;18063088;18064143;18064133;18065202;18065192;18066229;18066258;18066243;18067275;18067290;18067305;18067293;18068317;18068341;18068341	1000	22069001	1600	0.05	1600	0.05	1600	0.05	10000_1;0_2;0_3
41	2	1	36.2	36.2	36.2	36.2	36.2	18061013;18062044;18063078;18063088;18064143;18064133;18065202;18065192;18066229;18066258;18066243;18067275;18067290;18067305;18067293;18068317;18068341;18068341	1500	22069001	1600	0.06	1600	0.06	1600	0.06	0_1;10000_2;0_3
41	3	1	40.54	40.54	40.54	40.54	40.54	18061013;18062044;18063078;18063088;18064143;18064133;18065202;18065192;18066229;18066258;18066243;18067275;18067290;18067305;18067293;18068317;18068341;18068341	2000	22069001	1600	0.07	1600	0.07	1600	0.07	0_1;0_2;10000_3
42	1	1	33.62	33.62	33.62	33.62	33.62	18061014;18062045;18063079;18063095;18064144;18064134;18065203;18065193;18066231;18066253;18066230;18067276;18067291;18067306;18067308;18068318;18068340;18068342	1000	22069001	1600	0.05	1600	0.05	1600	0.05	10000_1;0_2;0_3
42	2	1	38.2	38.2	38.2	38.2	38.2	18061014;18062045;18063079;18063095;18064144;18064134;18065203;18065193;18066231;18066253;18066230;18067276;18067291;18067306;18067308;18068318;18068340;18068342	1500	22069001	1600	0.06	1600	0.06	1600	0.06	0_1;10000_2;0_3
42	3	1	42.78	42.78	42.78	42.78	42.78	18061014;18062045;18063079;18063095;18064144;18064134;18065203;18065193;18066231;18066253;18066230;18067276;18067291;18067306;18067308;18068318;18068340;18068342	2000	22069001	1600	0.07	1600	0.07	1600	0.07	0_1;0_2;10000_3
43	1	1	35.38	35.38	35.38	35.38	35.38	18061015;18062046;18063081;18063097;18064145;18064135;18065204;18065194;18066234;18066254;18066249;18067277;18067292;18067307;18067309;18068319;18068339;18068343	1000	22069001	1600	0.05	1600	0.05	1600	0.05	10000_1;0_2;0_3
43	2	1	40.2	40.2	40.2	40.2	40.2	18061015;18062046;18063081;18063097;18064145;18064135;18065204;18065194;18066234;18066254;18066249;18067277;18067292;18067307;18067309;18068319;18068339;18068343	1500	22069001	1600	0.06	1600	0.06	1600	0.06	0_1;10000_2;0_3
43	3	1	45.02	45.02	45.02	45.02	45.02	18061015;18062046;18063081;18063097;18064145;18064135;18065204;18065194;18066234;18066254;18066249;18067277;18067292;18067307;18067309;18068319;18068339;18068343	2000	22069001	1600	0.07	1600	0.07	1600	0.07	0_1;0_2;10000_3
44	1	1	37.14	37.14	37.14	37.14	37.14	18061016;18062047;18063088;18064128;18064146;18065178;18065196;18066220;18066244;18067267;18067291;18067269;18068320;18068338;18068344;18069349;18069367;18069363	1000	22069001	1600	0.05	1600	0.05	1600	0.05	10000_1;0_2;0_3
44	2	1	42.2	42.2	42.2	42.2	42.2	18061016;18062047;18063088;18064128;18064146;18065178;18065196;18066220;18066244;18067267;18067291;18067269;18068320;18068338;18068344;18069349;18069367;18069363	1500	22069001	1600	0.06	1600	0.06	1600	0.06	0_1;10000_2;0_3
44	3	1	47.26	47.26	47.26	47.26	47.26	18061016;18062047;18063088;18064128;18064146;18065178;18065196;18066220;18066244;18067267;18067291;18067269;18068320;18068338;18068344;18069349;18069367;18069363	2000	22069001	1600	0.07	1600	0.07	1600	0.07	0_1;0_2;10000_3
45	1	1	38.9	38.9	38.9	38.9	38.9	18061017;18062048;18063089;18064129;18064147;18065179;18065197;18066222;18066245;18067270;18067292;18067299;18068321;18068337;18068345;18069350;18069368;18069364	1000	22069001	1600	0.05	1600	0.05	1600	0.05	10000_1;0_2;0_3
45	2	1	44.2	44.2	44.2	44.2	44.2	18061017;18062048;18063089;18064129;18064147;18065179;18065197;18066222;18066245;18067270;18067292;18067299;18068321;18068337;18068345;18069350;18069368;18069364	1500	22069001	1600	0.06	1600	0.06	1600	0.06	0_1;10000_2;0_3
45	3	1	49.5	49.5	49.5	49.5	49.5	18061017;18062048;18063089;18064129;18064147;18065179;18065197;18066222;18066245;18067270;18067292;18067299;18068321;18068337;18068345;18069350;18069368;18069364	2000	22069001	1600	0.07	1600	0.07	1600	0.07	0_1;0_2;10000_3
46	1	1	40.66	40.66	40.66	40.66	40.66	18061018;18062049;18063090;18064130;18064148;18065180;18065198;18066223;18066246;18067272;18067294;18067271;18068322;18068336;18068346;18069351;18069369;18069365	1000	22069001	1600	0.05	1600	0.05	1600	0.05	10000_1;0_2;0_3
46	2	1	46.2	46.2	46.2	46.2	46.2	18061018;18062049;18063090;18064130;18064148;18065180;18065198;18066223;18066246;18067272;18067294;18067271;18068322;18068336;18068346;18069351;18069369;18069365	1500	22069001	1600	0.06	1600	0.06	1600	0.06	0_1;10000_2;0_3
46	3	1	51.74	51.74	51.74	51.74	51.74	18061018;18062049;18063090;18064130;18064148;18065180;18065198;18066223;18066246;18067272;18067294;18067271;18068322;18068336;18068346;18069351;18069369;18069365	2000	22069001	1600	0.07	1600	0.07	1600	0.07	0_1;0_2;10000_3
47	1	1	42.42	42.42	42.42	42.42	42.42	18061019;18062050;18063091;18064131;18064149;18065181;18065199;18066224;18066247;18067274;18067295;18067272;18068323;18068335;18068347;18069352;18069370;18069366	1000	22069001	1600	0.05	1600	0.05	1600	0.05	10000_1;0_2;0_3
47	2	1	48.2	48.2	48.2	48.2	48.2	18061019;18062050;18063091;18064131;18064149;18065181;18065199;18066224;18066247;18067274;18067295;18067272;18068323;18068335;18068347;18069352;18069370;18069366	1500	22069001	1600	0.06	1600	0.06	1600	0.06	0_1;10000_2;0_3
47	3	1	53.98	53.98	53.98	53.98	53.98	18061019;18062050;18063091;18064131;18064149;18065181;18065199;18066224;18066247;18067274;18067295;18067272;18068323;18068335;18068347;18069352;18069370;18069366	2000	22069001	1600	0.07	1600	0.07	1600	0.07	0_1;0_2;10000_3
48	1	1	44.18	44.18	44.18	44.18	44.18	18061020;18062051;18063092;18064132;18064150;18065182;18065200;18066225;18066248;18067275;18067296;18067273;18068324;18068334;18068348;18069353;18069371;18069350	1000	22069001	1600	0.05	1600	0.05	1600	0.05	10000_1;0_2;0_3
48	2	1	50.2	50.2	50.2	50.2	50.2	18061020;18062051;18063092;18064132;18064150;18065182;18065200;18066225;18066248;18067275;18067296;18067273;18068324;18068334;18068348;18069353;18069371;18069350	1500	22069001	1600	0.06	1600	0.06	1600	0.06	0_1;10000_2;0_3
48	3	1	56.22	56.22	56.22	56.22	56.22	18061020;18062051;18063092;18064132;18064150;18065182;18065200;18066225;18066248;18067275;18067296;18067273;18068324;18068334;18068348;18069353;18069371;18069350	2000	22069001	1600	0.07	1600	0.07	1600	0.07	0_1;0_2;10000_3
49	1	1	45.94	45.94	45.94	45.94	45.94	18061001;18062052;18063093;18064133;18064151;18065183;18065201;18066226;18066249;18067276;18067297;18067274;18068325;18068333;18068324;18069354;18069372;18069351	1000	22069001	1600	0.05	1600	0.05	1600	0.05	10000_1;0_2;0_3
49	2	1	52.2	52.2	52.2	52.2	52.2	18061001;18062052;18063093;18064133;18064151;18065183;18065201;18066226;18066249;18067276;18067297;18067274;18068325;18068333;18068324;18069354;18069372;18069351	1500	22069001	1600	0.06	1600	0.06	1600	0.06	0_1;10000_2;0_3
49	3	1	58.46	58.46	58.46	58.46	58.46	18061001;18062052;18063093;18064133;18064151;18065183;18065201;18066226;18066249;18067276;18067297;18067274;18068325;18068333;18068324;18069354;18069372;18069351	2000	22069001	1600	0.07	1600	0.07	1600	0.07	0_1;0_2;10000_3
50	1	1	48.58	48.58	48.58	48.58	48.58	18061002;18062053;18063094;18064134;18064152;18065184;18065202;18066227;18066250;18067279;18067298;18067275;18068326;18068332;18068323;18069355;18069373;18069352	1000	22069001	1600	0.05	1600	0.05	1600	0.05	10000_1;0_2;0_3
50	2	1	55.2	55.2	55.2	55.2	55.2	18061002;18062053;18063094;18064134;18064152;18065184;18065202;18066227;18066250;18067279;18067298;18067275;18068326;18068332;18068323;18069355;18069373;18069352	1500	22069001	1600	0.06	1600	0.06	1600	0.06	0_1;10000_2;0_3
50	3	1	61.82	61.82	61.82	61.82	61.82	18061002;18062053;18063094;18064134;18064152;18065184;18065202;18066227;18066250;18067279;18067298;18067275;18068326;18068332;18068323;18069355;18069373;18069352	2000	22069001	1600	0.07	1600	0.07	1600	0.07	0_1;0_2;10000_3
51	1	1	51.22	51.22	51.22	51.22	51.22	18061003;18062054;18063095;18064135;18064153;18065185;18065203;18066228;18066251;18067280;18067299;18067276;18068327;18068331;18068322;18069356;18069349;18069367	1000	22069001	1600	0.05	1600	0.05	1600	0.05	10000_1;0_2;0_3
51	2	1	58.2	58.2	58.2	58.2	58.2	18061003;18062054;18063095;18064135;18064153;18065185;18065203;18066228;18066251;18067280;18067299;18067276;18068327;18068331;18068322;18069356;18069349;18069367	1500	22069001	1600	0.06	1600	0.06	1600	0.06	0_1;10000_2;0_3
51	3	1	65.18	65.18	65.18	65.18	65.18	18061003;18062054;18063095;18064135;18064153;18065185;18065203;18066228;18066251;18067280;18067299;18067276;18068327;18068331;18068322;18069356;18069349;18069367	2000	22069001	1600	0.07	1600	0.07	1600	0.07	0_1;0_2;10000_3
52	1	1	53.86	53.86	53.86	53.86	53.86	18061004;18062055;18063096;18064136;18064154;18065186;18065204;18066229;18066252;18067281;18067300;18067280;18068328;18068330;18068321;18069357;18069350;18069354	1000	22069001	1600	0.05	1600	0.05	1600	0.05	10000_1;0_2;0_3
52	2	1	61.2	61.2	61.2	61.2	61.2	18061004;18062055;18063096;18064136;18064154;18065186;18065204;18066229;18066252;18067281;18067300;18067280;18068328;18068330;18068321;18069357;18069350;18069354	1500	22069001	1600	0.06	1600	0.06	1600	0.06	0_1;10000_2;0_3
52	3	1	68.54	68.54	68.54	68.54	68.54	18061004;18062055;18063096;18064136;18064154;18065186;18065204;18066229;18066252;18067281;18067300;18067280;18068328;18068330;18068321;18069357;18069350;18069354	2000	22069001	1600	0.07	1600	0.07	1600	0.07	0_1;0_2;10000_3
53	1	1	56.5	56.5	56.5	56.5	56.5	18061005;18062056;18063097;18064137;18064155;18065187;18065205;18066230;18066253;18067282;18067301;18067281;18068329;18068329;18068320;18069358;18069351;18069355	1000	22069001	1600	0.05	1600	0.05	1600	0.05	10000_1;0_2;0_3
53	2	1	64.2	64.2	64.2	64.2	64.2	18061005;18062056;18063097;18064137;18064155;18065187;18065205;18066230;18066253;18067282;18067301;18067281;18068329;18068329;18068320;18069358;18069351;18069355	1500	22069001	1600	0.06	1600	0.06	1600	0.06	0_1;10000_2;0_3
53	3	1	71.9	71.9	71.9	71.9	71.9	18061005;18062056;18063097;18064137;18064155;18065187;18065205;18066230;18066253;18067282;18067301;18067281;18068329;18068329;18068320;18069358;18069351;18069355	2000	22069001	1600	0.07	1600	0.07	1600	0.07	0_1;0_2;10000_3
54	1	1	59.14	59.14	59.14	59.14	59.14	18061006;18062044;18063098;18064138;18064156;18065188;18065206;18066234;18066254;18067283;18067302;18067282;18068330;18068328;18068319;18069359;18069352;18069356	1000	22069001	1600	0.05	1600	0.05	1600	0.05	10000_1;0_2;0_3
54	2	1	67.2	67.2	67.2	67.2	67.2	18061006;18062044;18063098;18064138;18064156;18065188;18065206;18066234;18066254;18067283;18067302;18067282;18068330;18068328;18068319;18069359;18069352;18069356	1500	22069001	1600	0.06	1600	0.06	1600	0.06	0_1;10000_2;0_3
54	3	1	75.26	75.26	75.26	75.26	75.26	18061006;18062044;18063098;18064138;18064156;18065188;18065206;18066234;18066254;18067283;18067302;18067282;18068330;18068328;18068319;18069359;18069352;18069356	2000	22069001	1600	0.07	1600	0.07	1600	0.07	0_1;0_2;10000_3
55	1	1	61.78	61.78	61.78	61.78	61.78	18061007;18062045;18063099;18064139;18064157;18065189;18065207;18066235;18066255;18067284;18067303;18067287;18068331;18068327;18068318;18069360;18069373;18069357	1000	22069001	1600	0.05	1600	0.05	1600	0.05	10000_1;0_2;0_3
55	2	1	70.2	70.2	70.2	70.2	70.2	18061007;18062045;18063099;18064139;18064157;18065189;18065207;18066235;18066255;18067284;18067303;18067287;18068331;18068327;18068318;18069360;18069373;18069357	1500	22069001	1600	0.06	1600	0.06	1600	0.06	0_1;10000_2;0_3
55	3	1	78.62	78.62	78.62	78.62	78.62	18061007;18062045;18063099;18064139;18064157;18065189;18065207;18066235;18066255;18067284;18067303;18067287;18068331;18068327;18068318;18069360;18069373;18069357	2000	22069001	1600	0.07	1600	0.07	1600	0.07	0_1;0_2;10000_3
56	1	1	64.42	64.42	64.42	64.42	64.42	18061008;18062046;18063100;18064140;18064158;18065190;18065208;18066236;18066256;18067285;18067304;18067289;18068332;18068326;18068317;18069361;18069354;18069368	1000	22069001	1600	0.05	1600	0.05	1600	0.05	10000_1;0_2;0_3
56	2	1	73.2	73.2	73.2	73.2	73.2	18061008;18062046;18063100;18064140;18064158;18065190;18065208;18066236;18066256;18067285;18067304;18067289;18068332;18068326;18068317;18069361;18069354;18069368	1500	22069001	1600	0.06	1600	0.06	1600	0.06	0_1;10000_2;0_3
56	3	1	81.98	81.98	81.98	81.98	81.98	18061008;18062046;18063100;18064140;18064158;18065190;18065208;18066236;18066256;18067285;18067304;18067289;18068332;18068326;18068317;18069361;18069354;18069368	2000	22069001	1600	0.07	1600	0.07	1600	0.07	0_1;0_2;10000_3
57	1	1	67.06	67.06	67.06	67.06	67.06	18061009;18062047;18063101;18064141;18064159;18065191;18065209;18066237;18066257;18067286;18067305;18067290;18068333;18068325;18068316;18069362;18069355;18069369	1000	22069001	1600	0.05	1600	0.05	1600	0.05	10000_1;0_2;0_3
57	2	1	76.2	76.2	76.2	76.2	76.2	18061009;18062047;18063101;18064141;18064159;18065191;18065209;18066237;18066257;18067286;18067305;18067290;18068333;18068325;18068316;18069362;18069355;18069369	1500	22069001	1600	0.06	1600	0.06	1600	0.06	0_1;10000_2;0_3
57	3	1	85.34	85.34	85.34	85.34	85.34	18061009;18062047;18063101;18064141;18064159;18065191;18065209;18066237;18066257;18067286;18067305;18067290;18068333;18068325;18068316;18069362;18069355;18069369	2000	22069001	1600	0.07	1600	0.07	1600	0.07	0_1;0_2;10000_3
58	1	1	69.7	69.7	69.7	69.7	69.7	18061010;18062048;18063102;18064142;18064160;18065192;18065210;18066240;18066258;18067287;18067306;18067291;18068321;18068331;18068340;18069363;18069358;18069370	1000	22069001	1600	0.05	1600	0.05	1600	0.05	10000_1;0_2;0_3
58	2	1	79.2	79.2	79.2	79.2	79.2	18061010;18062048;18063102;18064142;18064160;18065192;18065210;18066240;18066258;18067287;18067306;18067291;18068321;18068331;18068340;18069363;18069358;18069370	1500	22069001	1600	0.06	1600	0.06	1600	0.06	0_1;10000_2;0_3
58	3	1	88.7	88.7	88.7	88.7	88.7	18061010;18062048;18063102;18064142;18064160;18065192;18065210;18066240;18066258;18067287;18067306;18067291;18068321;18068331;18068340;18069363;18069358;18069370	2000	22069001	1600	0.07	1600	0.07	1600	0.07	0_1;0_2;10000_3
59	1	1	72.34	72.34	72.34	72.34	72.34	18061011;18062049;18063103;18064143;18064161;18065193;18065211;18066241;18066259;18067288;18067307;18067292;18068323;18068333;18068345;18069364;18069359;18069371	1000	22069001	1600	0.05	1600	0.05	1600	0.05	10000_1;0_2;0_3
59	2	1	82.2	82.2	82.2	82.2	82.2	18061011;18062049;18063103;18064143;18064161;18065193;18065211;18066241;18066259;18067288;18067307;18067292;18068323;18068333;18068345;18069364;18069359;18069371	1500	22069001	1600	0.06	1600	0.06	1600	0.06	0_1;10000_2;0_3
59	3	1	92.06	92.06	92.06	92.06	92.06	18061011;18062049;18063103;18064143;18064161;18065193;18065211;18066241;18066259;18067288;18067307;18067292;18068323;18068333;18068345;18069364;18069359;18069371	2000	22069001	1600	0.07	1600	0.07	1600	0.07	0_1;0_2;10000_3
60	1	1	75.86	75.86	75.86	75.86	75.86	18061012;18062050;18063104;18064144;18064162;18065194;18065212;18066242;18066260;18067289;18067308;18067294;18068327;18068335;18068347;18069365;18069360;18069362	1000	22069001	1600	0.05	1600	0.05	1600	0.05	10000_1;0_2;0_3
60	2	1	86.2	86.2	86.2	86.2	86.2	18061012;18062050;18063104;18064144;18064162;18065194;18065212;18066242;18066260;18067289;18067308;18067294;18068327;18068335;18068347;18069365;18069360;18069362	1500	22069001	1600	0.06	1600	0.06	1600	0.06	0_1;10000_2;0_3
60	3	1	96.54	96.54	96.54	96.54	96.54	18061012;18062050;18063104;18064144;18064162;18065194;18065212;18066242;18066260;18067289;18067308;18067294;18068327;18068335;18068347;18069365;18069360;18069362	2000	22069001	1600	0.07	1600	0.07	1600	0.07	0_1;0_2;10000_3
61	1	1	79.38	79.38	79.38	79.38	79.38	18061013;18062051;18063106;18064145;18064163;18065195;18065213;18066243;18066261;18067290;18067309;18067295;18068329;18068336;18068348;18069366;18069361;18069372	1000	22069001	1600	0.05	1600	0.05	1600	0.05	10000_1;0_2;0_3
61	2	1	90.2	90.2	90.2	90.2	90.2	18061013;18062051;18063106;18064145;18064163;18065195;18065213;18066243;18066261;18067290;18067309;18067295;18068329;18068336;18068348;18069366;18069361;18069372	1500	22069001	1600	0.06	1600	0.06	1600	0.06	0_1;10000_2;0_3
61	3	1	101.02	101.02	101.02	101.02	101.02	18061013;18062051;18063106;18064145;18064163;18065195;18065213;18066243;18066261;18067290;18067309;18067295;18068329;18068336;18068348;18069366;18069361;18069372	2000	22069001	1600	0.07	1600	0.07	1600	0.07	0_1;0_2;10000_3
